# duration[s]	open_theoretical_valve	open_jet_grid_valve	closed_theoretical_valve	closed_jet_grid_valve
0.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.050	2.738e-01	0.000e+00	1.331e-01	0.000e+00
0.100	5.140e-01	0.000e+00	2.857e-01	0.000e+00
0.150	7.792e-01	0.000e+00	3.679e-01	0.000e+00
0.200	9.534e-01	0.000e+00	5.346e-01	0.000e+00
0.250	1.170e+00	1.301e+00	6.547e-01	6.736e-01
0.300	1.274e+00	1.408e+00	8.084e-01	8.300e-01
0.350	1.469e+00	1.586e+00	9.350e-01	9.255e-01
0.400	1.527e+00	1.627e+00	9.956e-01	9.401e-01
0.450	1.440e+00	1.531e+00	1.013e+00	9.162e-01
0.500	1.383e+00	1.473e+00	1.097e+00	9.798e-01
0.550	1.162e+00	1.216e+00	1.030e+00	9.679e-01
0.600	1.003e+00	1.053e+00	9.891e-01	9.162e-01
0.650	8.246e-01	8.579e-01	8.268e-01	7.544e-01
0.700	7.099e-01	7.505e-01	7.186e-01	6.683e-01
0.750	6.385e-01	6.815e-01	6.688e-01	6.020e-01
0.800	5.086e-01	5.635e-01	6.331e-01	5.794e-01
0.850	4.978e-01	5.728e-01	5.725e-01	5.635e-01
0.900	4.156e-01	4.932e-01	5.173e-01	5.065e-01
0.950	3.798e-01	4.574e-01	4.924e-01	4.879e-01
1.000	3.322e-01	4.057e-01	4.426e-01	4.362e-01
1.050	3.290e-01	4.163e-01	4.502e-01	4.680e-01
1.100	3.030e-01	3.726e-01	3.723e-01	4.018e-01
1.150	2.662e-01	3.262e-01	3.820e-01	4.177e-01
1.200	2.121e-01	2.745e-01	3.495e-01	3.805e-01
1.250	2.002e-01	2.572e-01	3.312e-01	3.805e-01
1.300	1.591e-01	2.294e-01	3.138e-01	3.514e-01
1.350	1.299e-01	1.909e-01	3.052e-01	3.514e-01
1.400	1.201e-01	1.936e-01	2.565e-01	2.930e-01
1.450	1.180e-01	1.512e-01	2.770e-01	3.315e-01
1.500	1.039e-01	1.445e-01	2.338e-01	2.917e-01
1.550	9.632e-02	1.392e-01	2.024e-01	2.426e-01
1.600	8.658e-02	1.352e-01	1.764e-01	2.241e-01
1.650	6.601e-02	1.008e-01	1.753e-01	2.214e-01
1.700	6.168e-02	1.154e-01	1.699e-01	2.082e-01
1.750	5.952e-02	8.486e-02	1.504e-01	2.095e-01
1.800	6.060e-02	1.154e-01	1.569e-01	2.042e-01
1.850	4.221e-02	7.955e-02	1.212e-01	1.618e-01
1.900	3.571e-02	6.895e-02	1.180e-01	1.512e-01
1.950	3.679e-02	5.834e-02	1.125e-01	1.379e-01
2.000	3.247e-02	5.569e-02	1.245e-01	1.498e-01
2.050	3.788e-02	5.569e-02	1.017e-01	1.485e-01
2.100	1.515e-02	4.243e-02	9.956e-02	1.366e-01
2.150	2.597e-02	5.436e-02	8.333e-02	1.127e-01
2.200	1.732e-02	3.182e-02	7.034e-02	9.812e-02
2.250	2.164e-02	3.182e-02	7.684e-02	1.167e-01
2.300	1.299e-02	3.713e-02	7.900e-02	1.140e-01
2.350	1.190e-02	2.784e-02	6.926e-02	1.127e-01
2.400	1.190e-02	2.652e-02	6.060e-02	9.547e-02
