# duration[s]	open_theoretical_valve	open_jet_grid_valve	closed_theoretical_valve	closed_jet_grid_valve
4.900	0.000e+00	0.000e+00	1.045e-03	2.536e-03
4.950	0.000e+00	1.268e-03	0.000e+00	0.000e+00
5.000	1.045e-03	1.268e-03	0.000e+00	0.000e+00
5.050	1.045e-03	1.268e-03	1.045e-03	3.805e-03
5.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.150	0.000e+00	0.000e+00	1.045e-03	1.268e-03
5.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.250	1.045e-03	3.805e-03	0.000e+00	1.268e-03
5.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.450	0.000e+00	1.268e-03	1.045e-03	1.268e-03
5.500	0.000e+00	0.000e+00	0.000e+00	1.268e-03
5.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.750	0.000e+00	1.268e-03	0.000e+00	0.000e+00
5.800	0.000e+00	1.268e-03	0.000e+00	0.000e+00
5.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.150	0.000e+00	0.000e+00	0.000e+00	1.268e-03
6.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.600	0.000e+00	0.000e+00	0.000e+00	1.268e-03
6.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.800	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.800	0.000e+00	1.268e-03	0.000e+00	0.000e+00
7.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.800	0.000e+00	0.000e+00	0.000e+00	1.268e-03
