# duration[s]	open_theoretical_valve	open_jet_grid_valve	closed_theoretical_valve	closed_jet_grid_valve
3.350	0.000e+00	0.000e+00	3.240e-02	5.420e-02
3.400	0.000e+00	0.000e+00	4.200e-02	5.871e-02
3.450	1.200e-03	1.505e-03	4.200e-02	5.269e-02
3.500	0.000e+00	0.000e+00	4.080e-02	5.721e-02
3.550	0.000e+00	0.000e+00	2.520e-02	4.215e-02
3.600	0.000e+00	0.000e+00	3.480e-02	6.323e-02
3.650	0.000e+00	1.505e-03	3.480e-02	5.420e-02
3.700	1.200e-03	1.505e-03	2.280e-02	4.968e-02
3.750	0.000e+00	0.000e+00	2.040e-02	4.215e-02
3.800	0.000e+00	0.000e+00	3.000e-02	4.065e-02
3.850	0.000e+00	0.000e+00	1.800e-02	3.764e-02
3.900	0.000e+00	0.000e+00	2.280e-02	2.860e-02
3.950	0.000e+00	0.000e+00	2.280e-02	4.667e-02
4.000	0.000e+00	0.000e+00	9.600e-03	2.860e-02
4.050	0.000e+00	0.000e+00	2.280e-02	4.968e-02
4.100	0.000e+00	0.000e+00	1.200e-02	2.860e-02
4.150	1.200e-03	1.505e-03	1.680e-02	3.463e-02
4.200	0.000e+00	0.000e+00	1.680e-02	2.559e-02
4.250	0.000e+00	0.000e+00	1.320e-02	3.613e-02
4.300	0.000e+00	0.000e+00	1.320e-02	3.011e-02
4.350	0.000e+00	0.000e+00	1.440e-02	3.463e-02
4.400	0.000e+00	0.000e+00	1.800e-02	4.366e-02
4.450	0.000e+00	0.000e+00	1.080e-02	2.409e-02
4.500	0.000e+00	0.000e+00	8.400e-03	1.656e-02
4.550	0.000e+00	0.000e+00	9.600e-03	1.957e-02
4.600	0.000e+00	0.000e+00	9.600e-03	2.258e-02
4.650	0.000e+00	0.000e+00	1.200e-02	2.409e-02
4.700	0.000e+00	0.000e+00	6.000e-03	3.011e-02
4.750	0.000e+00	0.000e+00	6.000e-03	1.807e-02
4.800	0.000e+00	0.000e+00	6.000e-03	1.355e-02
4.850	0.000e+00	0.000e+00	3.600e-03	1.355e-02
4.900	0.000e+00	0.000e+00	7.200e-03	1.807e-02
4.950	0.000e+00	0.000e+00	8.400e-03	2.409e-02
5.000	0.000e+00	0.000e+00	8.400e-03	1.957e-02
5.050	0.000e+00	0.000e+00	8.400e-03	1.505e-02
5.100	0.000e+00	0.000e+00	7.200e-03	1.807e-02
5.150	0.000e+00	0.000e+00	3.600e-03	1.505e-02
5.200	0.000e+00	0.000e+00	2.400e-03	1.807e-02
5.250	0.000e+00	0.000e+00	6.000e-03	1.355e-02
5.300	0.000e+00	0.000e+00	3.600e-03	7.527e-03
5.350	0.000e+00	0.000e+00	3.600e-03	1.204e-02
5.400	0.000e+00	0.000e+00	6.000e-03	1.807e-02
5.450	0.000e+00	0.000e+00	1.200e-03	1.656e-02
5.500	0.000e+00	0.000e+00	4.800e-03	1.204e-02
5.550	0.000e+00	0.000e+00	3.600e-03	1.505e-02
5.600	0.000e+00	0.000e+00	3.600e-03	7.527e-03
5.650	0.000e+00	0.000e+00	4.800e-03	1.656e-02
5.700	0.000e+00	0.000e+00	8.400e-03	1.505e-02
5.750	0.000e+00	0.000e+00	1.200e-03	4.516e-03
5.800	0.000e+00	0.000e+00	4.800e-03	1.355e-02
5.850	0.000e+00	0.000e+00	2.400e-03	1.355e-02
5.900	0.000e+00	0.000e+00	1.200e-03	6.022e-03
5.950	0.000e+00	0.000e+00	4.800e-03	1.204e-02
6.000	0.000e+00	0.000e+00	2.400e-03	4.516e-03
6.050	0.000e+00	0.000e+00	2.400e-03	4.516e-03
6.100	0.000e+00	0.000e+00	1.200e-03	9.033e-03
6.150	0.000e+00	0.000e+00	0.000e+00	4.516e-03
6.200	0.000e+00	0.000e+00	0.000e+00	7.527e-03
6.250	0.000e+00	0.000e+00	2.400e-03	1.355e-02
6.300	0.000e+00	0.000e+00	1.200e-03	4.516e-03
6.350	0.000e+00	0.000e+00	3.600e-03	1.656e-02
6.400	0.000e+00	0.000e+00	0.000e+00	1.505e-03
6.450	0.000e+00	0.000e+00	1.200e-03	1.505e-03
6.500	0.000e+00	0.000e+00	1.200e-03	6.022e-03
6.550	0.000e+00	0.000e+00	1.200e-03	9.033e-03
6.600	0.000e+00	0.000e+00	2.400e-03	4.516e-03
6.650	0.000e+00	0.000e+00	1.200e-03	4.516e-03
6.700	0.000e+00	0.000e+00	0.000e+00	4.516e-03
6.750	0.000e+00	0.000e+00	1.200e-03	1.505e-03
6.800	0.000e+00	0.000e+00	1.200e-03	3.011e-03
6.850	0.000e+00	0.000e+00	1.200e-03	3.011e-03
6.900	0.000e+00	0.000e+00	2.400e-03	4.516e-03
6.950	0.000e+00	0.000e+00	1.200e-03	6.022e-03
7.000	0.000e+00	0.000e+00	0.000e+00	1.505e-03
7.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.100	0.000e+00	0.000e+00	0.000e+00	7.527e-03
7.150	0.000e+00	0.000e+00	0.000e+00	3.011e-03
7.200	0.000e+00	0.000e+00	1.200e-03	6.022e-03
7.250	0.000e+00	0.000e+00	0.000e+00	3.011e-03
7.300	0.000e+00	0.000e+00	0.000e+00	1.505e-03
7.350	0.000e+00	0.000e+00	1.200e-03	1.505e-03
7.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.450	0.000e+00	0.000e+00	1.200e-03	6.022e-03
7.500	0.000e+00	0.000e+00	1.200e-03	6.022e-03
7.550	0.000e+00	0.000e+00	1.200e-03	3.011e-03
7.600	0.000e+00	0.000e+00	0.000e+00	3.011e-03
7.650	0.000e+00	0.000e+00	0.000e+00	1.505e-03
7.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.750	0.000e+00	0.000e+00	0.000e+00	1.505e-03
7.800	0.000e+00	0.000e+00	1.200e-03	1.505e-03
7.850	0.000e+00	0.000e+00	2.400e-03	1.505e-03
7.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.000	0.000e+00	0.000e+00	0.000e+00	3.011e-03
8.050	0.000e+00	0.000e+00	1.200e-03	1.505e-03
8.100	0.000e+00	0.000e+00	0.000e+00	3.011e-03
8.150	0.000e+00	0.000e+00	1.200e-03	1.505e-03
8.200	0.000e+00	0.000e+00	0.000e+00	1.505e-03
8.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.800	0.000e+00	0.000e+00	1.200e-03	1.505e-03
8.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8.900	0.000e+00	0.000e+00	0.000e+00	1.505e-03
8.950	0.000e+00	0.000e+00	0.000e+00	1.505e-03
9.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.200	0.000e+00	0.000e+00	1.200e-03	1.505e-03
9.250	0.000e+00	0.000e+00	1.200e-03	1.505e-03
9.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.350	0.000e+00	0.000e+00	0.000e+00	1.505e-03
9.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.550	0.000e+00	0.000e+00	0.000e+00	3.011e-03
9.600	0.000e+00	0.000e+00	0.000e+00	1.505e-03
9.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.800	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.750	0.000e+00	0.000e+00	0.000e+00	1.505e-03
10.800	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.850	0.000e+00	0.000e+00	1.200e-03	1.505e-03
10.900	0.000e+00	0.000e+00	0.000e+00	1.505e-03
10.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.500	0.000e+00	0.000e+00	0.000e+00	1.505e-03
11.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.750	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.800	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.850	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.900	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.950	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.050	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.100	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.150	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.200	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.250	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.300	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.350	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.400	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.450	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.500	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.550	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.600	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.650	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.700	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.750	0.000e+00	0.000e+00	0.000e+00	1.505e-03
