# duration[s]	open_theoretical_valve	open_jet_grid_valve	closed_theoretical_valve	closed_jet_grid_valve
0.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.050	4.320e-01	0.000e+00	1.344e-01	0.000e+00
0.100	6.684e-01	0.000e+00	2.040e-01	0.000e+00
0.150	9.648e-01	0.000e+00	2.664e-01	0.000e+00
0.200	1.201e+00	0.000e+00	3.780e-01	0.000e+00
0.250	1.470e+00	1.719e+00	4.224e-01	4.170e-01
0.300	1.656e+00	1.938e+00	5.448e-01	5.284e-01
0.350	1.733e+00	1.989e+00	7.008e-01	6.699e-01
0.400	1.694e+00	1.939e+00	7.452e-01	6.970e-01
0.450	1.619e+00	1.822e+00	8.736e-01	7.874e-01
0.500	1.388e+00	1.549e+00	8.220e-01	6.820e-01
0.550	1.081e+00	1.182e+00	7.896e-01	6.790e-01
0.600	9.204e-01	1.031e+00	7.992e-01	6.729e-01
0.650	8.040e-01	8.988e-01	7.944e-01	6.564e-01
0.700	6.324e-01	7.181e-01	6.720e-01	5.871e-01
0.750	4.788e-01	5.540e-01	6.492e-01	5.706e-01
0.800	4.236e-01	5.073e-01	5.592e-01	4.757e-01
0.850	4.248e-01	5.149e-01	5.088e-01	4.622e-01
0.900	3.048e-01	3.884e-01	4.968e-01	4.516e-01
0.950	2.820e-01	3.854e-01	5.256e-01	4.772e-01
1.000	3.000e-01	3.989e-01	4.368e-01	4.020e-01
1.050	2.628e-01	3.432e-01	4.632e-01	4.366e-01
1.100	1.704e-01	2.499e-01	4.224e-01	4.230e-01
1.150	1.632e-01	2.303e-01	3.948e-01	3.884e-01
1.200	1.248e-01	1.912e-01	3.708e-01	3.718e-01
1.250	1.212e-01	2.002e-01	3.372e-01	3.237e-01
1.300	9.000e-02	1.355e-01	3.312e-01	3.222e-01
1.350	7.920e-02	1.174e-01	3.120e-01	3.357e-01
1.400	6.840e-02	1.370e-01	3.312e-01	3.447e-01
1.450	6.480e-02	1.039e-01	2.880e-01	3.146e-01
1.500	6.720e-02	1.069e-01	2.952e-01	3.252e-01
1.550	5.040e-02	9.183e-02	3.048e-01	3.041e-01
1.600	3.360e-02	6.624e-02	2.436e-01	2.680e-01
1.650	3.120e-02	6.323e-02	2.604e-01	2.800e-01
1.700	3.720e-02	6.473e-02	2.304e-01	2.529e-01
1.750	2.160e-02	4.817e-02	1.992e-01	2.394e-01
1.800	7.200e-03	2.258e-02	2.064e-01	2.349e-01
1.850	1.920e-02	4.516e-02	1.800e-01	2.078e-01
1.900	1.440e-02	3.161e-02	2.124e-01	2.559e-01
1.950	1.800e-02	3.463e-02	1.452e-01	1.776e-01
2.000	1.200e-02	2.258e-02	1.572e-01	2.213e-01
2.050	7.200e-03	2.108e-02	1.296e-01	1.882e-01
2.100	1.080e-02	2.258e-02	1.404e-01	1.671e-01
2.150	7.200e-03	1.957e-02	1.548e-01	1.731e-01
2.200	6.000e-03	1.505e-02	1.272e-01	1.852e-01
2.250	2.400e-03	7.527e-03	1.032e-01	1.159e-01
2.300	4.800e-03	7.527e-03	1.152e-01	1.686e-01
2.350	3.600e-03	7.527e-03	9.240e-02	1.265e-01
2.400	3.600e-03	1.054e-02	1.164e-01	1.656e-01
2.450	1.200e-03	6.022e-03	1.116e-01	1.370e-01
2.500	0.000e+00	0.000e+00	8.880e-02	1.174e-01
2.550	1.200e-03	1.505e-03	8.880e-02	1.265e-01
2.600	3.600e-03	7.527e-03	8.520e-02	1.099e-01
2.650	0.000e+00	3.011e-03	9.480e-02	1.310e-01
2.700	1.200e-03	3.011e-03	6.960e-02	1.099e-01
2.750	1.200e-03	3.011e-03	7.560e-02	1.144e-01
2.800	1.200e-03	3.011e-03	7.920e-02	1.054e-01
2.850	1.200e-03	3.011e-03	7.800e-02	8.581e-02
2.900	0.000e+00	3.011e-03	6.840e-02	1.189e-01
2.950	2.400e-03	4.516e-03	5.640e-02	1.099e-01
3.000	0.000e+00	0.000e+00	6.240e-02	1.054e-01
3.050	0.000e+00	0.000e+00	5.640e-02	9.484e-02
3.100	0.000e+00	1.505e-03	6.240e-02	9.033e-02
3.150	1.200e-03	1.505e-03	5.880e-02	8.280e-02
3.200	0.000e+00	1.505e-03	4.320e-02	7.979e-02
3.250	0.000e+00	0.000e+00	4.560e-02	5.871e-02
3.300	0.000e+00	0.000e+00	3.840e-02	6.022e-02
